target,depth_label,component,component_label,dominant_lag_by_absolute_effect,dominant_standardized_coefficient,absolute_effect_memory_index_months,positive_effect_memory_index_months,net_standardized_effect_across_lags,total_absolute_effect_across_lags,stable_positive_lag_count,stable_negative_lag_count
SM_0_10cm_mm,0–10 cm,C1,January eastern,0,0.14171876516589293,1.1797927635092966,1.1797927635092966,0.4010797654049034,0.4010797654049034,4,0
SM_0_10cm_mm,0–10 cm,C2,May–June southwest,0,0.3803833799488768,1.0037841779182242,1.0037841779182242,0.6727952466767392,0.6727952466767392,4,0
SM_0_10cm_mm,0–10 cm,C3,April–October,0,0.22705827300601467,0.9155993958278058,0.9155993958278058,0.4366310115753534,0.4366310115753534,4,0
SM_0_10cm_mm,0–10 cm,C4,November northern,0,0.34675846190204934,0.8248108913176136,0.8248108913176136,0.6791026688633465,0.6791026688633465,4,0
SM_100_200cm_mm,100–200 cm,C1,January eastern,3,0.1488357985254064,1.4869712156441655,1.4869712156441655,0.5296758634151767,0.5296758634151767,4,0
SM_100_200cm_mm,100–200 cm,C2,May–June southwest,1,0.24591782888942554,1.588569202836197,1.588569202836197,0.7803241096700205,0.7803241096700205,4,0
SM_100_200cm_mm,100–200 cm,C3,April–October,1,0.14093426923457733,1.1850196063759229,1.1850196063759229,0.3426825345321723,0.3426825345321723,3,0
SM_100_200cm_mm,100–200 cm,C4,November northern,1,0.26309311727765605,1.6224963659473697,1.6224963659473697,0.6398530663032151,0.6398530663032151,3,0
SM_10_40cm_mm,10–40 cm,C1,January eastern,0,0.12860412853414321,1.2694077538283846,1.2694077538283846,0.3573802226145024,0.3573802226145024,4,0
SM_10_40cm_mm,10–40 cm,C2,May–June southwest,0,0.32878806031066543,1.027756417869681,1.027756417869681,0.6542994835870487,0.6542994835870487,4,0
SM_10_40cm_mm,10–40 cm,C3,April–October,0,0.169081586003005,1.0648910275082601,1.0648910275082601,0.3977157902836564,0.3977157902836564,4,0
SM_10_40cm_mm,10–40 cm,C4,November northern,0,0.25017265250190485,1.1260875999247681,1.1260875999247681,0.6936662530989491,0.6936662530989491,4,0
SM_40_100cm_mm,40–100 cm,C1,January eastern,0,0.16492223973273132,1.3169140490173992,1.3169140490173992,0.43183331232407796,0.43183331232407796,4,0
SM_40_100cm_mm,40–100 cm,C2,May–June southwest,0,0.2534516991688366,1.261083743884814,1.261083743884814,0.7216049974642343,0.7216049974642343,4,0
SM_40_100cm_mm,40–100 cm,C3,April–October,1,0.13895643772583843,1.2461143194668904,1.2461143194668904,0.3769869420574887,0.3769869420574887,4,0
SM_40_100cm_mm,40–100 cm,C4,November northern,1,0.27804943504105917,1.4726428928054347,1.4726428928054347,0.7441441560879808,0.7441441560879808,4,0
