target,depth_label,alpha,validation_fold,validation_region_count,validation_sample_count,validation_rmse_mm
SM_0_10cm_mm,0–10 cm,0.0,0,28,336,0.7757204125648918
SM_0_10cm_mm,0–10 cm,0.0,1,32,384,1.2689965948012383
SM_0_10cm_mm,0–10 cm,0.0,2,37,444,1.1487129858027165
SM_0_10cm_mm,0–10 cm,0.0,3,33,396,4.005274448075548
SM_0_10cm_mm,0–10 cm,0.0,4,42,504,2.0958078115736027
SM_0_10cm_mm,0–10 cm,0.0001,0,28,336,0.7757202368474271
SM_0_10cm_mm,0–10 cm,0.0001,1,32,384,1.268996580761286
SM_0_10cm_mm,0–10 cm,0.0001,2,37,444,1.148712778692286
SM_0_10cm_mm,0–10 cm,0.0001,3,33,396,4.005274047100044
SM_0_10cm_mm,0–10 cm,0.0001,4,42,504,2.0958075099939824
SM_0_10cm_mm,0–10 cm,0.001,0,28,336,0.7757186554075236
SM_0_10cm_mm,0–10 cm,0.001,1,32,384,1.2689964544016488
SM_0_10cm_mm,0–10 cm,0.001,2,37,444,1.1487109147184609
SM_0_10cm_mm,0–10 cm,0.001,3,33,396,4.005270438349723
SM_0_10cm_mm,0–10 cm,0.001,4,42,504,2.0958047958294594
SM_0_10cm_mm,0–10 cm,0.01,0,28,336,0.7757028427197495
SM_0_10cm_mm,0–10 cm,0.01,1,32,384,1.2689951907986228
SM_0_10cm_mm,0–10 cm,0.01,2,37,444,1.1486922769649952
SM_0_10cm_mm,0–10 cm,0.01,3,33,396,4.005234353740448
SM_0_10cm_mm,0–10 cm,0.01,4,42,504,2.0957776593353428
SM_0_10cm_mm,0–10 cm,0.1,0,28,336,0.775544886652786
SM_0_10cm_mm,0–10 cm,0.1,1,32,384,1.2689825540947446
SM_0_10cm_mm,0–10 cm,0.1,2,37,444,1.14850609759558
SM_0_10cm_mm,0–10 cm,0.1,3,33,396,4.004873796755822
SM_0_10cm_mm,0–10 cm,0.1,4,42,504,2.09550680815164
SM_0_10cm_mm,0–10 cm,1.0,0,28,336,0.7739820985599903
SM_0_10cm_mm,0–10 cm,1.0,1,32,384,1.268856111949214
SM_0_10cm_mm,0–10 cm,1.0,2,37,444,1.1466638125228097
SM_0_10cm_mm,0–10 cm,1.0,3,33,396,4.001296857267794
SM_0_10cm_mm,0–10 cm,1.0,4,42,504,2.092848358163703
SM_0_10cm_mm,0–10 cm,10.0,0,28,336,0.759777188192576
SM_0_10cm_mm,0–10 cm,10.0,1,32,384,1.2675796199721812
SM_0_10cm_mm,0–10 cm,10.0,2,37,444,1.1299305039653822
SM_0_10cm_mm,0–10 cm,10.0,3,33,396,3.9681459228606206
SM_0_10cm_mm,0–10 cm,10.0,4,42,504,2.0702625756389246
SM_0_10cm_mm,0–10 cm,30.0,0,28,336,0.7344331893029058
SM_0_10cm_mm,0–10 cm,30.0,1,32,384,1.2646550984271097
SM_0_10cm_mm,0–10 cm,30.0,2,37,444,1.1003756541152796
SM_0_10cm_mm,0–10 cm,30.0,3,33,396,3.908068350675832
SM_0_10cm_mm,0–10 cm,30.0,4,42,504,2.035533477043113
SM_0_10cm_mm,0–10 cm,100.0,0,28,336,0.6772938221561815
SM_0_10cm_mm,0–10 cm,100.0,1,32,384,1.2542965046915002
SM_0_10cm_mm,0–10 cm,100.0,2,37,444,1.0331219770440268
SM_0_10cm_mm,0–10 cm,100.0,3,33,396,3.7829415583727997
SM_0_10cm_mm,0–10 cm,100.0,4,42,504,1.9743288635405674
SM_0_10cm_mm,0–10 cm,300.0,0,28,336,0.6283342859553626
SM_0_10cm_mm,0–10 cm,300.0,1,32,384,1.2304004867165839
SM_0_10cm_mm,0–10 cm,300.0,2,37,444,0.9295135574788995
SM_0_10cm_mm,0–10 cm,300.0,3,33,396,3.6783832904917615
SM_0_10cm_mm,0–10 cm,300.0,4,42,504,1.9268404454423242
SM_0_10cm_mm,0–10 cm,1000.0,0,28,336,0.7984278901757526
SM_0_10cm_mm,0–10 cm,1000.0,1,32,384,1.2008388131501844
SM_0_10cm_mm,0–10 cm,1000.0,2,37,444,0.8166581691019501
SM_0_10cm_mm,0–10 cm,1000.0,3,33,396,3.717589057083658
SM_0_10cm_mm,0–10 cm,1000.0,4,42,504,1.9609548311011253
SM_0_10cm_mm,0–10 cm,3000.0,0,28,336,1.253104905043647
SM_0_10cm_mm,0–10 cm,3000.0,1,32,384,1.262114667933411
SM_0_10cm_mm,0–10 cm,3000.0,2,37,444,0.963510740058704
SM_0_10cm_mm,0–10 cm,3000.0,3,33,396,3.9138884837043544
SM_0_10cm_mm,0–10 cm,3000.0,4,42,504,2.0976949702639685
SM_0_10cm_mm,0–10 cm,10000.0,0,28,336,1.7564873920750446
SM_0_10cm_mm,0–10 cm,10000.0,1,32,384,1.4847660270380785
SM_0_10cm_mm,0–10 cm,10000.0,2,37,444,1.403675870328425
SM_0_10cm_mm,0–10 cm,10000.0,3,33,396,4.188665114690022
SM_0_10cm_mm,0–10 cm,10000.0,4,42,504,2.2921367213760178
